Incident,City,Date,Entity,Location,Opposition Type,Severity,Source URL,State,County,Scope,Issue Category,Objective,Authority Level,Status,Community Outcome,Hyperscaler,Company,Project Name,Investment Million USD,Megawatts,Acreage,Sponsors,Opposition Groups,Summary,Sources,Opposition Website,Opposition Facebook,Opposition Instagram,Petition URL,Petition Signatures,data_source,lat,lon
U.S. Senate (Sen. Lummis POWER Up Act — FERC authority over data center grid connections),U.S. Senate (Sen. Lummis POWER Up Act — FERC authority over data center grid connections),2026-06-17,Unknown,"U.S. Senate (Sen. Lummis POWER Up Act — FERC authority over data center grid connections), US",legislation,1,"{'url': 'https://www.nbcnews.com/tech/tech-news/gop-bill-put-data-center-grid-access-federal-oversight-rcna350263', 'title': 'GOP bill would put data center grid access under federal oversight (NBC News)'}",US,,federal,grid_energy; ratepayer,,federal_legislature,pending,pending,,,,,,,,,"On ~June 17, 2026 Sen. Cynthia Lummis (R-WY) introduced the POWER Up Act, which would give FERC authority to approve or reject data centers' connections to certain transmission grids — a notable GOP move toward federal oversight of large-load interconnection, paralleling FERC's pending RM26-4 rulemaking. Distinct from Sen. Schiff's Energy Cost Fairness and Reliability Act.","{'url': 'https://www.nbcnews.com/tech/tech-news/gop-bill-put-data-center-grid-access-federal-oversight-rcna350263', 'title': 'GOP bill would put data center grid access under federal oversight (NBC News)'}; {'url': 'https://www.lummis.senate.gov/press-releases/lummis-introduces-legislation-to-modernize-rules-for-high-power-grid-connections/', 'title': 'Lummis Introduces Legislation to Modernize Rules for High-Power Grid Connections (Sen. Lummis)'}; {'url': 'https://www.datacenterdynamics.com/en/news/republican-senator-introduces-bill-to-impose-federal-rules-on-data-center-grid-connections/', 'title': 'Republican senator introduces bill to impose federal rules on data center grid connections (DCD)'}",,,,,,,,
"Tooele County (Resolution 2026-18 directing data center ordinance study), UT","Tooele County (Resolution 2026-18 directing data center ordinance study), UT",2026-06-17,Unknown,"Tooele County (Resolution 2026-18 directing data center ordinance study), UT, UT",study_or_report; regulatory_action,1,"{'url': 'https://www.abc4.com/news/local-news/tooele-county-data-center-council-resolution-adopted/', 'title': 'Tooele County adopts data center study resolution (ABC4)'}",UT,Tooele County,local,zoning; grid_energy; tax_incentive; design_standards,,county_commission,passed,pending,,,,,,,,,"On June 17, 2026 the Tooele County (UT) Council adopted Resolution 2026-18 directing Planning & Zoning, the County Manager, County Attorney, and Planning Commission to study and recommend revisions to the Land Use Ordinance and county code on data centers, the County Energy Excise Tax / high-impact provisions, and Significant Development Zone overlay standards. The council framed it as a response to data center 'misinformation,' noting no data center has been proposed.","{'url': 'https://www.abc4.com/news/local-news/tooele-county-data-center-council-resolution-adopted/', 'title': 'Tooele County adopts data center study resolution (ABC4)'}",,,,,,,40.5308,-112.2983
Potential data center sparks moratorium push in no,,,Unknown,,,1,https://news.google.com/rss/articles/CBMitAFBVV95cUxNRUtKMVVmODBwY0dpYnVsZ0hYT012ZDlCQ202X0lXREF2VW1ncHNBVkdJdWUtWXExbmIteGs0R2xMY1hvcVlZV1hIZUFGcFZ4NDZmczk4QVAwMUZoQVVyTHZ5WnNzX3R0ZkhxZzlxdlJNNXpQMWtoaGwtQUNxOEhzTFJUaW5IanoxVURVaXgya0Y1Y1VrMWVFWklYa2k4UWRVNHdnWndGVGFRUUdHal9LUGhaWUI?oc=5,,,,,,,ongoing,,,,,,,,,,Potential data center sparks moratorium push in northwest Iowa - Iowa Public Radio,,,,,,,,,
Box Elder County passes moratorium on future data ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiiAFBVV95cUxQVVpsUzEtQWtqUExvSnd4ckpMeEhSc0dWN2hNNXhZSlVSOEVVQ2hxR1lqV0J0ZEVSM1NqYm9OcXJfclAzVTI3RzBvY2s0U1FnQTdRM2I3ckVtSkJnZ3BFZmdlSmFodDhkeEotSkVXeWRhU1UxaktsWnNEWm9oM1dIbUhnd1djM1pn?oc=5,,,,,,,ongoing,,,,,,,,,,Box Elder County passes moratorium on future data centers - Utah Public Radio,,,,,,,,,
U-M continues data center plans despite local oppo,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiogFBVV95cUxOVkZXZWRzandBbGZuZENTejFBbm9zcHNjWU85QUhvRktMZmNWTFRWUVFCTDgySkRKSHU2aW9oLUtaaDNoTmtWVlpxWnpldmhRTERBVHlBQVhSaER2RGtUNW92WVNMWlZDOG42ZUgyS0MxZ3FpNmR3ZlpfOXRtcGRHc0tnRkpCTUhkMUVrU0U1S3BsNjBDLUt5RkxGcUZSN090dmc?oc=5,,,,,,,ongoing,,,,,,,,,,U-M continues data center plans despite local opposition - The Eastern Echo,,,,,,,,,
Pasco County considers 1-year moratorium on data c,,,Unknown,,,1,https://news.google.com/rss/articles/CBMi6gFBVV95cUxNcmlKa1FVN29QaGhwTlh2YmhXS0xlRkdXWVY5TTNsRDNvMHo2RExhMVNEV3hQNC1kMUZCRllrNVRMQi00YlZucTBhelI1dzNZakdkMmdqb29ZcUN1TENIbXNIcGI2MTVydXh0U0tFaUdYRkQxaU15SGw1TjlYVWdKRmZBdUw2aHVBaDRTUW9BcmQ1ZVc2c04welJKQnhaUjFDelREVm1CSmZWeDIwVVg1U0JVVDNuWDF2NzhKVGhXMHVDMHM5X2hoX3JKMm5hc0tDdy1RYS10Sm5yMEVvZVpjdUZjdDI0aXE2WUE?oc=5,,,,,,,ongoing,,,,,,,,,,Pasco County considers 1-year moratorium on data centers amid growing community concerns - Tampa Bay 28,,,,,,,,,
A city at the center of an AI data center frenzy j,,,Unknown,,,1,https://news.google.com/rss/articles/CBMihgFBVV95cUxOZkthaGR1RnJwem1hck1VZ1g1Y1V4d3pjMG1abEIxNHcyWjFoZ2pCUVAxZWNHSkF4bUxFSXBiNXJ1QjV2dndKbVJmdndRR0ZPSkhsSzFITVI5MXJuM0hNZThPTVJnT2U5dDlyNV8zdUdPUzN4aUV4UEpWMDJOcGFwRFk2VnE2QQ?oc=5,,,,,,,ongoing,,,,,,,,,,A city at the center of an AI data center frenzy just voted to ban them - Business Insider,,,,,,,,,
New York Data Center Moratorium Threatens $10B Pip,,,Unknown,,,1,https://news.google.com/rss/articles/CBMikAFBVV95cUxPODUzaWxpZWh6QjUxUnhUYnpEQmZCaFlCUExHa3oxOHppaDV6dTJwNWdmVkpNaXlZbUZuZElNVzdYWnl5b2JqZHltT1BsdDIzTlJ4MHhack1kRi11S1dFejFLX0VBNHdKdnRSTG84NVZIVWdRdXlaaEx1bmJ3ODU5MlpfMkpVYUtZU3V1bGVXRGo?oc=5,,,,,,,ongoing,,,,,,,,,,New York Data Center Moratorium Threatens $10B Pipeline - CRE Daily,,,,,,,,,
Attendees commandeer New Mexico Tech town hall to ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiygFBVV95cUxNMHZJUDRoYkdRQ1RDNkRXUjAzTm9wN2FHT0FaWWF0RkJ6RFY5UVVsZHY2UHVmZEd4LUVCT290VU9LY184b1RUbXlsdXdFVTlaSk5oekMwOGM4SGhTYjhtX1VhbS1QUjZUR1MwM0ZLZUNJeDJMWUhDSjFMTGl2NUNQd2xiYUlkSU9hWElDWEJVczkxSFhXZ3dtVzBVZWNKWWVyalZ5cXhuRGg4c2NhRVVkdG5rb09mdkpwRnZMR284aTVPWXhGbVRjclF3?oc=5,,,,,,,ongoing,,,,,,,,,,"Attendees commandeer New Mexico Tech town hall to oppose proposed Socorro data center, solar array - Source New Mexico",,,,,,,,,
Amazon investigating engineers who criticized AI d,,,Unknown,,,1,https://news.google.com/rss/articles/CBMihgFBVV95cUxPN3BCZGNwWWowRVJKSUd5R2p1aWlqQU5sOV92bkIwTmJKZ2VyMmVxMFJkdHdDQWVxSnRxbVlBLXNfeW9JQVNnbEI3SEd6bjNUcTNYdDdUSlFPbVBLTll4SVFZcm5zN2NEWTE2cEhLcm9PVS1zaXNsZy1LMEdud3VFeG9Fd1pfUdIBiwFBVV95cUxPN0dUQUhRVWhaTHNaeGNRckNiRGtOM3QxakZ6WjFlSE5nQV9wejdfVTJfWkNkbXAzUW54b0twNXREUEhIYVVEMXdHZ2hGaU1EczZJdTVvbnZWYXliM3U0ZmNGYmpXeGpEOW1aSXJWRU5oNnFnOGN0OFhtX1Y5ZTdfN2JaaXlZXzBXcFBr?oc=5,,,,,,,ongoing,,,,,,,,,,Amazon investigating engineers who criticized AI data center expansion - CNBC,,,,,,,,,
The New Coalition Taking on Big Tech’s AI Data Cen,,,Unknown,,,1,https://news.google.com/rss/articles/CBMifkFVX3lxTE1NTFg0UWtuR3VzRTdwWXBGV04xVzNGcDUySl85czdhWU90dmFCT0VDaEc2bjVPNTVkazdjMkFvZlBJYkJlUFE2M3VDcmJZcDlEZllwM212S3BZYlJoMGJpMTc4b3hVamc5S0E2N0dHR1lhOFNlMHNFTkFjWjZ1dw?oc=5,,,,,,,ongoing,,,,,,,,,,The New Coalition Taking on Big Tech’s AI Data Centers - Food & Water Watch,,,,,,,,,
Tennessee cities considering data center moratoriu,,,Unknown,,,1,https://news.google.com/rss/articles/CBMilgFBVV95cUxPTUdlSDdCQ2loSjY3N1QzY09aX093bmlzTDN0czN2NnB4WDRJQUlINzVsOHFsbXh2b0hzNEx6aGxwYUI3ak9pMWhSOG83cU1xVlhqdkowb0ZqSno0VVZsMTVFQXRWNEY1cXEwemJaWlMzZmdZbG1GTTdfUVJheGpMMUV0QThMa04wb2o1WjVQaFZEUFZQRXfSAZsBQVVfeXFMT3RKdHR0M3dQa2VKc21NYm5Jc0RXbXNuMVBxNnhqX1pWVWllWVZ1QzM4cnJxYS1ZcWQzTnp2U053M0w4TFdrd1BNeU9xazUxaHJqdTZaRHFWb1pTZk1RSEJrcnpJeEdhNHhNSzVkdzJTWGI4Qmd5ZTRtQ0RQVjRZTFhVVUNRaUJVMEJTU2dYajMyb2JDZlo4SXNTVlU?oc=5,,,,,,,ongoing,,,,,,,,,,Tennessee cities considering data center moratoriums - The Center Square,,,,,,,,,
The data center backlash that’s uniting America - ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMijgFBVV95cUxQVGFCdmMweTJuN1RzWUxIczJoT3Iwbm1rQnFDSmxuVWtLLUpCQVlwYkNVOFo2d1lETUhFS3JhRkpEakp1dnJ5NDVpOEM5QWV1SGlTdGlqemFlbFJZZWw2Sm10SGIxVFVZT29fUkhES0xRTnU5LXNEVmFWMXRZanVBbWc4b1VUYW13VlFzdUF3?oc=5,,,,,,,ongoing,,,,,,,,,,The data center backlash that’s uniting America - Waging Nonviolence,,,,,,,,,
Take a rare look inside the largest data center in,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiekFVX3lxTE9lSGZEWjJFQWJ2U3RYTzgteTVCYVZvUHJiZmZleF9fdzRNSXlCd0Fnc3EtejZvVDBtNzBSdlZjOW8zWHNiMGF3b01IZXMxa2VhRGpJRU5PdWx2T2xQc1M5MDV3QWtLbVN4X25oVHBzbDRIOHI1d2FIWHBR?oc=5,,,,,,,ongoing,,,,,,,,,,"Take a rare look inside the largest data center in Massachusetts. Neighbors call it ""the dungeon."" - CBS News",,,,,,,,,
Hood County Al data center town hall draws biparti,,,Unknown,,,1,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQbllSUTBzbWZOZDZNRFVsMHoxWkFINVg5ZDk2MU9udjdBTXhzY0s4UWJiYVhJWDlma04xWUhhb1RIQ1g5bjNGeDcwNU1zRTNucmxsRlQ1ZG9XOHNHZG9JSEFoYnpucG5aRTB4V0dGRHJ3ZVUwNl84NjQ3dDFXUF81M1N5WjdiaTV1VFJveEsydXZBVEJwOFB4QUNBeEd0OUtFaHBhWDRmX29YcFpHQ2JLaHVqQm5UcXlZYi1IalhScU1EZGV2eGp0RzNkai1hdi1fOGMxdnZjcFN2WGM2YVp2LWRsaHotV0U?oc=5,,,,,,,ongoing,,,,,,,,,,"Hood County Al data center town hall draws bipartisan concerns over water, noise and local control - KERA News",,,,,,,,,
Hundreds gather outside in Luther as town board ap,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiogFBVV95cUxOQUVYdEpxelpXeFdtVWl1UWhTUDhQdlJJcXRaNlVxc01tY19KSkFwUFJLcXIyWElXUjFUX0t3N2piOXRJWDlMQVR4T2NBamJxY1pneVdwVTlXRXJuTXMxVkJyNG0tdm9kMjFDQ3VnZXBHbG12aVhwcmlPY0Q3NGdNMHRGTUl0NHVJNUhqRF9YU1hPZURZUlgwYUhoTE43a0JIdEE?oc=5,,,,,,,ongoing,,,,,,,,,,Hundreds gather outside in Luther as town board approves a data center moratorium - News 9,,,,,,,,,
Luther joins growing list of Oklahoma communities ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiX0FVX3lxTFBURFREd2JiWjNmbFlwckJfeHR4X3dnVmRDcVFoc3pLX3FlcGNXRF9NY2tjT2llT01GTzYyUExld2wwcFA4UmNyOVV2M016V3Qtc2pSNXplNlRsOWEwc19F?oc=5,,,,,,,ongoing,,,,,,,,,,Luther joins growing list of Oklahoma communities with data center moratoriums - KOSU,,,,,,,,,
Data centers face growing regulatory backlash as M,,,Unknown,,,1,https://news.google.com/rss/articles/CBMif0FVX3lxTE56bV9ybmFuOEZMcGNoM0RENnIzYldlMUlhYWhUQ3FNeS1zVUwwMVRuWGNqRGhBT3JuUzlqanREN2hodGRIQ1dCME1uZE16NEEwSk5CVnJDX1J1VDBlRWxQSWxmbmFzUFpYVk5kMGxTQVktT2R6b0FZU0U1QlhQU28?oc=5,,,,,,,ongoing,,,,,,,,,,"Data centers face growing regulatory backlash as Maine, Seattle enact moratoriums - eciks.org",,,,,,,,,
Data Centers and Land Use – Public Opinion and Act,,,Unknown,,,1,https://news.google.com/rss/articles/CBMipgFBVV95cUxPWlZzbVIwVzZtRzZYQnE5WVlGSU1oWVFVaUtJUzVKMk9rcHEzbDhTZ2J3aU4yVkVPVDBCS3NfMUlXanRRZHI3TGtEZjU3WXVBVG1jMnQ5MTdXSnp5dnkyUWFCNWtmYldkR3VsZlFuUzRySjZzOW0yOWFfcGdpNS1ZdFB5T2NWanNFTEwxZmg1bkh5cFVVV3gxbzYyZnFTY2JDZWZaYjBR?oc=5,,,,,,,ongoing,,,,,,,,,,Data Centers and Land Use – Public Opinion and Action - ArentFox Schiff,,,,,,,,,
‘Not intended to oppose economic development or te,,,Unknown,,,1,https://news.google.com/rss/articles/CBMi9AFBVV95cUxQcFZ2SkdQUXZLSW04ZzVqWExIUm1ULUItR0JjTEFEQjcwTXprek1aNmUzT1gwcUJqMFlUVzRaeWRoTVY1Tm9zVVBVdjl4eWpBZlJ0NUFwaktUNDFlanBMclltQlk0M2l6bmNCZWtVcUVld3o0ay03VVBUbkZVYnJRUUtwdTgzUS1fWDdCYUlHeWRFamYta0NpMWQ4djFKQ2VnMmtOMV9MQlU2bENCeGw4YVJvcGI5V25PbTYxTF9TSjlqcm05REE5SXpVOUNkR29ZSGRPbVZKamVWTkxjU3BIUGxzVnpSR0lwYXBVUHl2NEszMy150gGIAkFVX3lxTE5rYzllWnVhYUM0Y2o3S0pkR3pGQ0tlQ1RNOXFFSkN6a3dlQkU1T0l3UXVFSzRobVpTcW5pbDVqb21HWTB1V19abjd0OGk0ZmZhTW5CTm11UUotbFVOVW15SkdEQm9LZjBQWDk0QUJHT1Mtb0NBZEFpV3BqZ1d6MEZxQXRZYzZMTDNyMEw2T3hWeDZSeVRwVjJ3c29pSGFZQXU1RTJkTVpRUlBUVEZfYi1oSGhQTVZJdmZGS3V1RzlnYXlzM1c0d2tiaTBoZE1qR0oxaE1IYUZyTERMOEh3Ykp6SlZaaklxa2NfeHVZdXBpeDUtSHBwLTJJNlMzX3MzcERtSC05bGU0aw?oc=5,,,,,,,ongoing,,,,,,,,,,"‘Not intended to oppose economic development or technological investment"": Homewood approves 12-month temporary moratorium on data centers - WBRC",,,,,,,,,
Do you want a data center near you? - The Mighty 7,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiTEFVX3lxTE1GVVo5bWZ4OWlJQmJGc0x1Tldya3JHUUZXZFBmLXM3ZGRSamxnOFdKZXRxSkdZTVJ2dDBoaVVKbWVDWHM0aUtqZWFXSzc?oc=5,,,,,,,ongoing,,,,,,,,,,Do you want a data center near you? - The Mighty 790 KFGO,,,,,,,,,
Michigan lawmakers seek to rein in data center ind,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiuwFBVV95cUxQRVJVYWxDLUtTdFI5emNXcU9xTjNuRGxwaFFjbXJ4Y3ZlWTFiOWtvT19LYXdZejZMallrTDRsSnNSZHllR24zYmlJOWtQcW1GaTdvQTdFSmlpaVpfSnJhYjNfYjNXZ1V5TE8zTE1wUVN6aUJSdkxUNVN2WHUzdEszMnh2NFAwX0otOEJJdVJyVmFVS2lfcTlnRDR2MzdrbWdJcWRqZFFJNURubEdfem9VdU1BTWhyXzBOWFZv?oc=5,,,,,,,ongoing,,,,,,,,,,Michigan lawmakers seek to rein in data center industry with new safeguards - MLive.com,,,,,,,,,
'We don't need them here.' Alliance residents oppo,,,Unknown,,,1,https://news.google.com/rss/articles/CBMirgFBVV95cUxQYnZuOUxtY2ZpTnFmQUoxLTF0NWwtWHpJMnNVVG9LdGJyaFpMckZYTzc5ZjFReGh5ZmNUNmlteml4b1pCMGVWc29PZEUtYklKdHVmWU1oM0YtUXZ4dnlWUks5VHd1cUVicmg5dzh0T1BJbEZsQWhUQVdGRkNSTzRMdmVDVHVxSmIxMnBqWVc0RW5GZEFSZV9KcmhoQzZicTc0TGlPOU9NNDVKYXJ5UHc?oc=5,,,,,,,ongoing,,,,,,,,,,"'We don't need them here.' Alliance residents oppose data centers, council acts - Canton Repository",,,,,,,,,
Inver Grove Heights meeting erupts into shouts aft,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiwgFBVV95cUxNbFh3SFpjZ2VCTkpmN0R6UnMwdm01T0hWdmE4Y3ZJOS1ZUUxNVjJKdkNDV1VhQlB1TXExM0RkQjdVOC1QS1BTUWlmOGI2bmdjZjZNMW11WkhtYWdpbEZyM3VTV3FlQ2prXzl4ajdQX2daVGVKeHRCYmxMU0hGZ1JzbHhjUE15V3JFY3ZaQU5SWG1icjdzRGlTT0UtTzlndmptQjBlY0ZRVjVmUDBDVWxmNmlfR2NWQkpheHpXdmE5dFlNUQ?oc=5,,,,,,,ongoing,,,,,,,,,,Inver Grove Heights meeting erupts into shouts after data center moratorium delayed - MPR News,,,,,,,,,
Council votes down data center moratorium - Times ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMioAFBVV95cUxOb1NKWXlVWjJ4TVc2bk16WUdrQnlXOXlpdEVIYm93eEFtOWdHOUhFZkZFbEoyT1R2RmM5WDYzOFZBQ3R4eTZrSFctVUZZbzhPOVJMR1oyMGFuZk5jYnZYVG1zVGtJX1hRek5IVXA0VTFYeVNOSUdWM3lLckM1Xy1wQWNHUUxtbU02YzdHNldkZXFEeVFtU05IZjZMQUItVVNz?oc=5,,,,,,,ongoing,,,,,,,,,,Council votes down data center moratorium - Times Republican,,,,,,,,,
America’s data center backlash is bipartisan — can,,,Unknown,,,1,https://news.google.com/rss/articles/CBMib0FVX3lxTFBqZWM1R2tWbDlLRTlQVlRnbDYxUkttckZhQTZTOTRaZ2xtMm1CZEZUNmpGOEF2UFMtaFg5eFNrZDFReTBibjUyY3JYcTlMUmw1WlNjSTlJQ1QtdzFqUDVHQkRpcjd3UTlFOTRMdXdMVQ?oc=5,,,,,,,ongoing,,,,,,,,,,America’s data center backlash is bipartisan — can it stay that way? - grist.org,,,,,,,,,
The Growing Political Power of Anti-Data Center Ac,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiekFVX3lxTE1mMGlIOExWajBNbXJzQ0hJb1RVRjJ1Wktsd3VEdHdxNFpYTHpONGV1Y01BS1NtcXlGMFNBQm5rWWdlbmdoSDNIY3dKT1VYN2pVMTFGY1MtMWUtSU1kM3V0QTYyTmt5M1pIbTJhT05jTFY0RXNEdXFUSDF3?oc=5,,,,,,,ongoing,,,,,,,,,,The Growing Political Power of Anti-Data Center Activists - Time Magazine,,,,,,,,,
Morgan Co. approves moratorium on proposed bitcoin,,,Unknown,,,1,https://news.google.com/rss/articles/CBMinwFBVV95cUxQTDRxNFhZa1E1TGg3ZkNPbmFMWkNNeWE5MFlDSTNjeEhhWmdzeERyRzVIaTdMX1VpUF9mOGdLZUZPeG5pRERka0s2Qnhsak1HZ3pNUlk0eEg4SEF4WkN5RGdXYmM4UjI1MFFWQ1VhNTBqOHVIOVdXS2pNSGIyTUFZRDl4Ym9qR1UtRkJ6UllHcFdDdGU2VDFTcFJmdW9DakHSAbMBQVVfeXFMTXRaSkNzd1lpY280d0p3b1VzQTVNOHlQU09KaVBGamVQdGlYenhydDdvUWRmUTJiZ0lKRWFkTC1vVGZKcGdfc1RCVUFyRjAyNldqZmd2Wi1ILWxTcmFsbHFxSDZTa2RFM1NzYjZETjhPN0pnczdGRmN4ODVUV2pQcnJoUUhndmZYSDZBLVBWM01Ib01qcWdCUzdxN0pITm01UER2UzZ5emxwb1Nnd2ppSzI2RjA?oc=5,,,,,,,ongoing,,,,,,,,,,Morgan Co. approves moratorium on proposed bitcoin mining data center - WAFF,,,,,,,,,
Luther adopts data center moratorium after backlas,,,Unknown,,,1,https://news.google.com/rss/articles/CBMilwFBVV95cUxPZksxV2l0RU0tRmhHLUVuWmUzQmh3RFV5SzFacnpUMHBxcHQ5dUdaOHlPazBxbzNlWXZQNkdwdEhSZDJHVWozcmpsa0txZG1HRDFwNkFnVWp5WVQ0RUVwMW1vcjZsb1EtWlUxZVdqV1J6aDNkWXdlTWdCTVNuYVIwblRNbms2Y25yYVZxaTl4d3hEcUMwdGJr?oc=5,,,,,,,ongoing,,,,,,,,,,Luther adopts data center moratorium after backlash to Beltline proposal - The Journal Record,,,,,,,,,
The city that said no to data centers - CalMatters,,,Unknown,,,1,https://news.google.com/rss/articles/CBMickFVX3lxTE5obGI1UlNGUE5zSE5qLWdKODladFhOclUySEFvUHNwZHhJeWNGcFpiNzZvZUtNcXBidi11UmNlRS02d3NGTXhMSS1YYm05ZmwwUkZCWDdIV1E5N3E0d255ZlpqODJVeHkxcFdXLUFFcHBWZw?oc=5,,,,,,,ongoing,,,,,,,,,,The city that said no to data centers - CalMatters,,,,,,,,,
Versailles City Council enacts moratorium on data ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMitgFBVV95cUxOS1FfNTY3U3RZcE9NUnpDRkYzUXhqVDJlTHROX0FSNG44YnFQRzg5eW91SGg0RjMzYWRUbUpFcTlkUjJTTldXamFnVDRCOHpNWnY2dVRvNlZaSWJELVhFVFVUV0puU1ZUNFNRS1ZEV3QtTmVQQ2Nac1FOMGllZjFYVzVZcG9XdGExTXBrZ1ZzY242X2F2R3kyamFuSS05QU1RbWVLb2E2aFJ2aVMxNUNnQ3ptQkh5Zw?oc=5,,,,,,,ongoing,,,,,,,,,,Versailles City Council enacts moratorium on data centers through 2026 - LEX 18 News,,,,,,,,,
Powerful House Republican getting pressure on data,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiugFBVV95cUxPck5rTjBEZHVEanp4SElBZW0yVWo4RHR3bFBJdmM0b2V6UWE0THFvNnhnVFhXTkVSNTZoa3g4NGZ2bElSN1FMcVFJVXdiT0NISTFpaHZWZV9WR005Um1xdkZCZUJuSGJ1dE84dDVzWjVzekJTamZRRGsyNWg2cHgzMXhXd2hYZmsyNnlrS2dFMG9sM29FWDJJMFcxZFZJT0Y5Unk5ZGZnOXpqalU1ajJRbjRTVDdHcGFQQ3c?oc=5,,,,,,,ongoing,,,,,,,,,,Powerful House Republican getting pressure on data centers back home - Politico,,,,,,,,,
Missoula-area groups organizing to oppose data cen,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5RQTY0SmFIMjZlY3Y0MEp0MXFHUTZndXk1cHdBT052djdxV292MU8zQ1Nfb1lnY0Y3Y2xtS1I2R0tBbXFlNWdPZ3JMaGRQS2lhU2lSU0xUYmtJWUZFcTNHNjlfeE9Fbm8?oc=5,,,,,,,ongoing,,,,,,,,,,Missoula-area groups organizing to oppose data center - Missoula Current,,,,,,,,,
Coachella considers moratorium on data centers as ,,,Unknown,,,1,https://news.google.com/rss/articles/CBMi4AFBVV95cUxNZ1RKczlwRXJxa3kxZXgzNFdyamR0d2JleV9SWk9Ob3d4bXdQTkYwNXk2TWZKS0xyWE94VXJ1VEpmRUZtQ0pGTDJPbElVN3NBVTl2Y3hJc09remZRZmd0ZnJzZkw2YmNQUThDSWFRc2Z4SkZMQ2lZWDVOQjc2OUtGV3ljWGNvbTdrOTBIV0dtaGducnd1QllRN25PVWlxMGpraVV6Q0t1NnBPQTBzWmMzekpmRUx1SFpOcWJRSzZtTEJ2U0pweFJTNGUtR0NlWXZhQTNsTjNrdVNFY0J5WWxaOQ?oc=5,,,,,,,ongoing,,,,,,,,,,Coachella considers moratorium on data centers as community pushes back against proposed tech campus - kvcrnews.org,,,,,,,,,
Yellowstone County Dems are seeking two-year morat,,,Unknown,,,1,https://news.google.com/rss/articles/CBMiiAJBVV95cUxNcml1SkJWMHI3NVRlV1N0dVJDcHdaSGNibkhHbHRvSU5salRHSzBwLW9hdWJ1cElYNVpvYnFKNFF1NUdVQXNSZGxWU05iX1p5QlQ4RmtNdC05dXZQOXNESFFBal9QNU5sNlY5dFhSRHZoNjFlTk8xaHloYlhhRzhDZi11QlpwRmFzeHc1Nm85dHhVNjhZV0NSdy10LVY5ZURUaXJadGwyUExrSHRra1hhME5QU0RRWFJuUEJBbUpuUzdSTlRJSHlweG83dnMwNm8wMDdhM2U5bTNzamVHcF90SGY5dlUtcFNZWERXQWxNSThlOEZGMUpEZ2ZuY2l4eUU1RG40WldlNTE?oc=5,,,,,,,ongoing,,,,,,,,,,Yellowstone County Dems are seeking two-year moratorium on large data centers in Montana - The MSU Exponent,,,,,,,,,
Both major candidates for New Hampshire governor s,,,Unknown,,,1,https://news.google.com/rss/articles/CBMikgFBVV95cUxOSDdsRHJJTmVacE0wYy1mNnF0b3RJZVhRQ2JQY2RaLXBPbVl1Q0Y2NHY3MUdhWExUZjd0VXFPNzNjNm5pQmtVc192dlV3ZEpZVEIxcERqUUdnZFh4M1F3NDhCM0xMYjZGTVFUZ3NSYm1WcjJyTmcxR2RfNjVxT0dvc05NUU1memdjQ2I4eE9GdDAzZw?oc=5,,,,,,,ongoing,,,,,,,,,,Both major candidates for New Hampshire governor share opposition to data centers - WMUR,,,,,,,,,
"Michigan lawmakers, local officials and residents ",,,Unknown,,,1,https://news.google.com/rss/articles/CBMitwFBVV95cUxObjdaVUF4R2hVSmpnRW4wZFdHalNTbUhIY09BY0N5WndkejNjMTZ4NEVSd3hLNnc1SXFsZUpqb0NxUElQbXNUVmtTNVFFMFQzQXdGWWNNQms2NElEVzlqVHZxdGFfMmZYcDJid2VRS1ppekhmX1VWVjlDUzZuSWRlbnpMbnNXc0NCQ05vZmQydlNVb2diVW5Qend3cHJ5MjhuN0l4MVdNNFFEd3RfZFFmcjVTSlFmMVU?oc=5,,,,,,,ongoing,,,,,,,,,,"Michigan lawmakers, local officials and residents renew push for statewide data center moratorium - Michigan Advance",,,,,,,,,
